_id,Etunimi,Sukunimi,createdAt,updatedAt,__v,created_by,updated_by,Teokset,Aakkostus,Nimi,esittely,syntymavuosi
5f689845e380b82d111d5203,,,2020-09-21T12:10:45.227Z,2020-09-21T12:10:45.239Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,[],Kontiainen,Maartit Kontiainen,,
5f6898c5e380b82d111d5205,,,2020-09-21T12:12:53.771Z,2020-09-28T19:21:42.395Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,[],Bergqvist,Mia Bergqvist,"Lämminhenkisistä töistään tunnettu nuoren polven taidemaalari on naivistisen tyylisuunnan edustaja. Seikkailevaksi uneksijaksi itseään luonnehtiva taiteilija on osallistunut lukuisiin naivistitaiteilijoiden näyttelyihin, kuten Naivistit Iittalassa-näyttelyyn.",1974
5f6898dbe380b82d111d5206,,,2020-09-21T12:13:15.397Z,2020-09-21T12:13:15.411Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,[],Clyv,Clyv,,
5f6898f2e380b82d111d5207,,,2020-09-21T12:13:38.253Z,2020-09-28T19:23:28.916Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,[],Vuorisalo,Pauli Vuorisalo,"Arvostettu monipuolinen taiteilija, jonka töitä on ollut ensi kertaa esillä v. 1962. Hänen töitään on useissa kokoelmissa ja museoissa Suomessa ja ulkomailla.",1944
5f689902e380b82d111d5208,,,2020-09-21T12:13:54.308Z,2020-09-28T19:24:12.017Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,[],Vuori,Pekka Vuori,"Tunnettu graafikkona ja kirjojen ja lehtien kuvittajana. Taiteilija kuvittaa mm. Helsingin Sanomia. Palkittu Rudolf Koivu -palkinnolla, valittu vuoden graafikoksi jne.",1935
5f689914e380b82d111d5209,,,2020-09-21T12:14:12.501Z,2020-09-28T19:18:32.766Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,[],Airikkala,Leena Airikkala,"Leena Airikkala on helsinkiläinen graafikko, joka tunnetaan elämänmyönteisistä, kasveja ja arjen esineitä kuvaavista maalauksistaan. Taiteilijalla on ollut useita yksityis- ja yhteisnäyttelyitä Suomessa ja ulkomailla.",1953
5f689926e380b82d111d520a,,,2020-09-21T12:14:30.843Z,2020-09-21T12:14:30.853Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,[],Lappalainen,Tuula Lappalainen,,
5f689937e380b82d111d520b,,,2020-09-21T12:14:47.179Z,2020-09-21T12:14:47.190Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,[],Laine,Lauri Laine,,
5f689947e380b82d111d520c,,,2020-09-21T12:15:03.351Z,2020-09-21T12:15:03.363Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,[],Blomstedt,Juhana Blomstedt,,
5f689959e380b82d111d520d,,,2020-09-21T12:15:21.023Z,2020-09-21T12:15:21.033Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,[],Neuvonen,Kirsi Neuvonen,,
5f68996ee380b82d111d520e,,,2020-09-21T12:15:42.936Z,2020-09-28T19:10:57.921Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,[],Väisänen,Hannu Väisänen,"Hannu Väisänen on tunnetuimpia nykytaiteilijoitamme. Hän on taiteen moniottelija, kuvataiteilija, runoilija ja lavastaja. Hannu Väisäsen töitä on useiden taidemuseoiden kokoelmissa ja lukuisissa yksityisnäyttelyissä.",1951
5f689985e380b82d111d520f,,,2020-09-21T12:16:05.304Z,2020-09-28T19:24:56.760Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,[],Koivikko,Pentti Koivikko,"Tunnettu taidemaalari, piirtäjä ja graafikko, jonka teoksia on lukuisissa taidemuseoissa ja kokoelmissa Suomessa ja ulkomailla.",1944
5f689996e380b82d111d5210,,,2020-09-21T12:16:22.115Z,2020-09-21T12:16:22.126Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,[],Juurak,Anu Juurak,,
5f6899b2e380b82d111d5211,,,2020-09-21T12:16:50.773Z,2020-09-21T12:16:50.786Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,[],Huhtanen,Urpo Huhtanen,,
5f6899f6e380b82d111d5212,,,2020-09-21T12:17:58.809Z,2020-09-21T12:17:58.820Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,[],Kiippa,Tapani Kiippa,,
5f689a0de380b82d111d5213,,,2020-09-21T12:18:21.765Z,2020-09-21T12:18:21.776Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,[],Soisalo,Juha Soisalo,,
5f689a22e380b82d111d5214,,,2020-09-21T12:18:42.051Z,2020-09-21T12:18:42.090Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,[],Para,Marie Para,,
5f689a36e380b82d111d5215,,,2020-09-21T12:19:02.745Z,2020-09-21T12:19:02.756Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,[],Dumontet,Michel Dumontet,,
5f7236706ed38803f5d48672,,,2020-09-28T19:16:00.314Z,2020-09-28T19:16:00.507Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3,[],Lavonen,Kuutti Lavonen,"Kuutti Lavonen on yksi tunnetuimpia nykytaiteilijoitamme. Hänet tunnetaan monipuolisena maalarina, graafikkona ja kirjoittajana. Lisäksi hän on vaikuttanut taide-elämäämme opettajana Kuvataideakatemiassa. Hänen töitään on johtavissa museoissa ja kokoelmissa. Lukuisia yksityis- ja yhteisnäyttelyitä vuodesta 1980.",1960
5f72374c6ed38803f5d48673,,,2020-09-28T19:19:40.248Z,2020-09-28T19:19:40.357Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3,[],Mughal,Maria Mughal,"Maria Mughal on pakistanilais-suomalainen taidemaalari ja taiteen maisteri (2004). Hänen taiteessaan vuorottelevat rationaalisuus ja mystiikka, uni ja valve. Ympyrä- ja kasvikuviot kuvastavat elämän jatkuvuutta ja jatkuvaa liikettä. Taiteilijalla on ollut useita yksityis- ja yhteisnäyttelyitä vuodesta 2000 lähtien.",1974
5f7238f16ed38803f5d48674,,,2020-09-28T19:26:41.605Z,2020-09-28T19:26:41.725Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3,[],Bremer,Sari Bremer,Sari Bremer on valmistunut v. 2000 kuvataiteen maisteriksi Kuvataideakatemian grafiikan laitokselta. Hän on opiskellut myös ulkomailla mm. Ranskassa ja Irlannissa. Lukuisia yksityis-ja yhteisnäyttelyitä vuodesta 1997.,1976
5f7239576ed38803f5d48675,,,2020-09-28T19:28:23.075Z,2020-09-28T19:28:23.186Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3,[],Tamminen,Seppo Tamminen,"Seppo Tamminen on vaikuttanut suomalaisessa taidemaailmassa 1960-luvun puolivälistä lähtien; ensin menestyvänä koruntekijänä, sitten menestyvänä maalarina.",1944
5f7afb532adb35056c787598,,,2020-10-05T10:54:11.714Z,2020-10-05T10:54:11.737Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,[],Woods,Jade Woods,,
