_id,etunimi,sukunimi,syntymavuosi,esittely,tunniste,createdAt,updatedAt,__v,created_by,updated_by
5f5e9e60fb8f29784608bbab,Alvar,Gullichsen,1961,Alvar Gullichsen on Suomen taiteessa ilmiö. Hänellä on sekä ideoita että taito varioida itseään ja ympäröivää yhteiskuntaa. Hänen töissään mielikuvitus ja todellisuus näyttävät pitkää nenää toisilleen.,gullichsen,2020-09-13T22:34:08.802Z,2020-09-28T23:58:46.144Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f5e9e98fb8f29784608bbac,Bruno,Maximus,1970,"Taiteilija on syntynyt Jyväskylässä, mutta asunut ja työskennellyt eri puolilla maailmaa, mm. Englannissa, Meksikossa ja Brasiliassa. Tyylisuuntaansa hän kutsuu hyperrealismiksi. Näyttelyitä vuodesta 1992 alkaen.",maximus,2020-09-13T22:35:04.383Z,2020-09-28T19:06:28.710Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f5ea5bd4841af799c439217,Emmi,Vuorinen,1948,"Emmi Vuorinen on monipuolinen kuvataiteilija, joka on viime vuosina keskittynyt grafiikkaan. Hän käyttää grafiikassaan useita menetelmiä, ja hänen työnsä ovat tunnelmaltaan ajattomia, intensiivisiä ja hetkessä kiinni. Useita ryhmänäyttelyitä vuodesta 1979 ja yksityisnäyttelyitä vuodesta 1999 lähtien.",vuorinen,2020-09-13T23:05:33.889Z,2020-09-28T19:07:18.592Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f5ea931f5cef979d414cfdf,Esa,Riippa,,"Esa Riippa edustaa perinteistä taidegrafiikkaa. Hänen työnsä on usein salaperäistä surrealismia, värillisiä vedoksia muutamalla laatalla, joissa etsaus yhdistyy akvatintaan. Palkittu graafikko on pitänyt useita yksityisnäyttelyitä ja on edustettuna useissa kokoelmissa kotimaassa ja ulkomailla.",riippa,2020-09-13T23:20:17.273Z,2020-09-28T19:08:06.660Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f5eab40f5cef979d414cfe1,Esko,Railo,1961,"Esko Railo on kankaanpään taidekoulusta vuonna 1986 valmistunut taidegraafikko, jonka töitä on nähty lukuissa näyttelyissä kotimaassa ja muualla Euroopassa. Railon töitä on useissa julkisissa kokoelmissa ja mm. valtion kokoelmissa.",railo,2020-09-13T23:29:04.098Z,2020-09-28T19:09:00.499Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f5eab8ff5cef979d414cfe3,Göran,Augustson,1936,"Göran Augustson on San Vannin perillisiä, konstruktivisti, jolle suora viiva, selkeys ja järjestys ovat ominaisia.",augustson,2020-09-13T23:30:23.701Z,2020-09-28T19:09:49.776Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f68967ae380b82d111d51f6,Seppo,Polameri,1936,Kuvittaja sekä graafinen taiteilija Seppo Polameri on tunnetuimpia luonnonkuvaajiamme. Hänet on usein palkittu kuvituksistaan ja muista graafisista töistään. Hänen töitään on ollut esillä useissa näyttelyissä Suomessa ja ulkomailla.,polameri,2020-09-21T12:03:06.638Z,2020-09-28T19:27:21.769Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3
5f6896afe380b82d111d51f7,Kaarina,Kaila,1941,Kaarina Kaila on etenkin kuvituksistaan ja renesanssin aiheista vaikutuksia saanut taidemaalari. Yksityisnäyttelyitä vuodesta 1971 alkaen. Kaarina Kaila työskentelee osan vuodesta Venetsiassa.,kaila,2020-09-21T12:03:59.188Z,2020-09-28T19:13:01.047Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3
5f6896cae380b82d111d51f8,Tiina,Kivinen,1971,"Tiina Kivinen on metalligrafiikkaan erikoistunut nuori taiteilija. Vedoksissaan hän käyttää mezzotinto-tekniikkaa, jolla hän saa aikaan syvän, sametinpehmeän mustan sävyn. Lukuisia yksityis-ja yhteisnäyttelyitä.",kivinen,2020-09-21T12:04:26.961Z,2020-09-28T19:29:27.879Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3
5f6896e5e380b82d111d51f9,Kaisu,Sirviö,,"Kaisu Sirviö on helsinkiläinen taidegraafikko. Hänen välineensä on kivilitografia, teknisesti vaativa ja työläs menetelmä. Taiteilijaa kiehtoo litografiassa valöörien rikkaus. Kaisu Sirviön kädenjälki on hyvin maalauksellista, hän luottaa välineensä mahtavaan sävykirjoon.",sirvio,2020-09-21T12:04:53.921Z,2020-09-28T19:13:59.364Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3
