_id,title,tuotenumero,createdAt,updatedAt,__v,artist,created_by,updated_by,Taiteilija,teosnimi,nayttokuva,hinta,korkeus,leveys,tekniikka,valmistumisvuosi,vedosmaara
5f748e19465a950572a7621c,Polameri,,2020-09-30T13:54:33.090Z,2020-09-30T13:54:33.101Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Veneellä,,100,23,63,Serigrafia,1987,
5f748e9e465a950572a7621d,Polameri,,2020-09-30T13:56:46.363Z,2020-09-30T13:56:46.373Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Kallioranta,,300,48,57,Serigrafia,2004,175
5f7490d7465a950572a7621e,Polameri,,2020-09-30T14:06:15.606Z,2020-09-30T14:06:15.624Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Hämärän hetki,,300,50,60,Serigrafia,2008,175
5f749134465a950572a7621f,Polameri,,2020-09-30T14:07:48.359Z,2020-09-30T14:07:48.370Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Villihanhet,,300,48,58,Serigrafia,2009,175
5f75ab952adb35056c7874e4,Kivinen,,2020-10-01T10:12:37.092Z,2020-10-07T13:21:16.339Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6896cae380b82d111d51f8,Uimakivellä,"[{""$oid"":""5f764a2c2adb35056c787526""}]",340,42,37,"Akvatinta,mezzotinto,kuivaneula",2013,50
5f75ac522adb35056c7874e5,Riippa,,2020-10-01T10:15:46.954Z,2020-10-07T13:22:32.388Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f5ea931f5cef979d414cfdf,Kesäillan valssi,[],380,40,54,Viivasyövytys-akvatinta,2015,75
5f75ae372adb35056c7874e6,Kontiainen,,2020-10-01T10:23:51.989Z,2020-10-01T10:23:52.004Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689845e380b82d111d5203,Huvimaja,[],200,36,51,Etsaus-akvatinta,2010,75
5f75b2142adb35056c7874e7,Lappalainen,,2020-10-01T10:40:20.925Z,2020-10-01T10:40:20.938Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689926e380b82d111d520a,Ulos aurinkoon,[],300,50,65,Serigrafia,1992,
5f75b2562adb35056c7874e8,Lappalainen,,2020-10-01T10:41:26.858Z,2020-10-01T10:41:26.869Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689926e380b82d111d520a,Illan tullen,[],300,,,Serigrafia,,
5f75b2b32adb35056c7874e9,Lappalainen,,2020-10-01T10:42:59.907Z,2020-10-01T10:42:59.920Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689926e380b82d111d520a,Ilo,[],220,38,57,Serigrafia,2004,
5f75b3142adb35056c7874ea,Lappalainen,,2020-10-01T10:44:36.656Z,2020-10-01T10:44:36.667Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689926e380b82d111d520a,Auringonlaskun aikaan,[],180,31,40,Serigrafia,1997,170
5f75b3502adb35056c7874eb,Lappalainen,,2020-10-01T10:45:36.184Z,2020-10-01T10:45:36.205Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689926e380b82d111d520a,Jeu du soleil,[],180,31,40,Serigrafia,2005,
5f75b53a2adb35056c7874ec,Laine,,2020-10-01T10:53:46.289Z,2020-10-01T10:53:46.300Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689937e380b82d111d520b,Figuuri XII,[],400,65,50,Serigrafia,2014,
5f75b5cf2adb35056c7874ed,Laine,,2020-10-01T10:56:15.573Z,2020-10-01T10:56:15.585Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689937e380b82d111d520b,Asetelma,[],200,30,21,Serigrafia,2004,100
5f75b8702adb35056c7874ee,Laine,,2020-10-01T11:07:28.903Z,2020-10-01T11:07:28.914Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689937e380b82d111d520b,Pieni soittaja III,[],150,26,20,Serigrafia,2017,
5f75b8aa2adb35056c7874ef,Laine,,2020-10-01T11:08:26.379Z,2020-10-01T11:08:26.390Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689937e380b82d111d520b,Pieni soittaja IV,[],150,26,20,Serigrafia,2017,
5f75b8dd2adb35056c7874f0,Laine,,2020-10-01T11:09:17.094Z,2020-10-01T11:09:17.108Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689937e380b82d111d520b,Pieni soittaja V,[],150,26,20,Serigrafia,2017,
5f75b9882adb35056c7874f1,Blomstedt,,2020-10-01T11:12:08.219Z,2020-10-01T11:12:08.231Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689947e380b82d111d520c,Kompositio I,[],300,27,21,Serigrafia,2002,100
5f75b9c32adb35056c7874f2,Blomstedt,,2020-10-01T11:13:07.234Z,2020-10-01T11:13:07.246Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689947e380b82d111d520c,Kompositio II,[],250,15,11,Serigrafia,1998,100
